date,amount
8/30/2015,$317.58
8/30/2015,$268.25
8/31/2015,$46.07
9/5/2015,$200.00
10/10/2015,$450.00
9/5/2015,$215.80
9/5/2015,$6.80
8/31/2015,$2.97
10/19/2015,$22.88
8/31/2015,$23.00
8/31/2015,$95.00
8/31/2015,$10.23
8/31/2015,$0.74
8/31/2015,$23.78
8/31/2015,$12.35
9/1/2015,$2.29
9/1/2015,$5.58
9/1/2015,$10.23
9/1/2015,$6.20
9/1/2015,$4.50
9/1/2015,$14.11
9/1/2015,$1.09
9/1/2015,$4.96
9/2/2015,$20.15
9/3/2015,$15.50
9/3/2015,$2.17
9/3/2015,$9.58
9/3/2015,$354.00
9/3/2015,$3.10
9/3/2015,$250.85
9/3/2015,$19.67
9/3/2015,$11.67
9/3/2015,$2.17
9/3/2015,$9.30
9/3/2015,$1.24
9/3/2015,$6.20
9/4/2015,$2.48
9/4/2015,$9.30
9/4/2015,$5.58
9/4/2015,$0.93
9/4/2015,$12.40
9/4/2015,$3.10
9/4/2015,$2.17
9/4/2015,$1.55
9/4/2015,$15.50
9/5/2015,$6.20
9/5/2015,$1217.03
9/9/2015,$3.10
9/9/2015,$3.10
9/10/2015,$10.00
9/10/2015,$53.32
9/10/2015,$20.00
9/10/2015,$12.71
9/10/2015,$2.79
9/10/2015,$6.20
9/10/2015,$1.55
9/10/2015,$5.27
9/10/2015,$18.60
9/10/2015,$4.65
9/10/2015,$1.05
9/11/2015,$40.89
9/11/2015,$0.37
9/11/2015,$0.93
9/11/2015,$5.27
9/11/2015,$6.82
9/11/2015,$0.62
9/11/2015,$1.09
9/11/2015,$1.55
9/11/2015,$1.24
9/12/2015,$0.93
9/12/2015,$0.93
9/12/2015,$1.40
9/12/2015,$30.38
9/12/2015,$14.88
9/13/2015,$0.93
9/13/2015,$9.61
9/14/2015,$15.97
9/14/2015,$6.20
9/15/2015,$6.20
9/15/2015,$4.03
9/15/2015,$6.20
9/15/2015,$0.62
9/15/2015,$99.20
9/15/2015,$24.80
9/15/2015,$0.62
9/15/2015,$0.62
9/15/2015,$39.37
9/15/2015,$0.93
9/15/2015,$0.62
9/15/2015,$132.06
9/16/2015,$44.33
9/16/2015,$49.91
9/17/2015,$33.48
9/17/2015,$24.49
9/17/2015,$103.62
9/18/2015,$19.22
9/18/2015,$51.77
9/18/2015,$37.44
9/18/2015,$8.84
9/18/2015,$33.12
9/19/2015,$15.19
9/19/2015,$34.10
9/20/2015,$18.29
9/20/2015,$88.66
9/20/2015,$74.40
9/20/2015,$24.18
9/20/2015,$130.00
9/21/2015,$13.95
9/22/2015,$112.22
9/23/2015,$33.17
9/23/2015,$7.44
9/21/2015,$50.00
9/22/2015,$62.00
9/23/2015,$8.06
9/23/2015,$31.00
9/24/2015,$5.27
9/24/2015,$6.20
9/25/2015,$27.90
9/25/2015,$113.15
9/26/2015,$53.94
9/26/2015,$5.89
9/27/2015,$217.93
9/27/2015,$27.59
9/28/2015,$32.24
9/28/2015,$43.40
9/29/2015,$72.85
9/30/2015,$1.92
9/30/2015,$16.12
9/30/2015,$10.85
10/1/2015,$46.50
10/1/2015,$13.64
10/1/2015,$21.40
10/2/2015,$82.15
10/2/2015,$32.24
10/2/2015,$5.43
10/2/2015,$87.58
10/3/2015,$29.76
10/3/2015,$15.81
10/4/2015,$39.68
10/4/2015,$0.62
10/4/2015,$4.65
10/5/2015,$23.99
10/5/2015,$28.95
10/6/2015,$42.16
10/6/2015,$10.85
10/7/2015,$3.10
10/7/2015,$211.72
10/7/2015,$11.32
10/8/2015,$38.44
10/8/2015,$1.55
10/9/2015,$396.77
10/9/2015,$27.59
10/9/2015,$251.10
10/10/2015,$0.01
10/10/2015,$0.01
10/11/2015,$0.01
10/11/2015,$0.01
10/12/2015,$0.01
10/12/2015,$0.01
10/13/2015,$0.01
10/13/2015,$0.01
10/14/2015,$27.47
10/14/2015,$32.98
10/15/2015,$34.10
10/15/2015,$21.70
10/15/2015,$19.22
10/15/2015,$4.34
10/15/2015,$4.34
10/16/2015,$141.66
10/16/2015,$26.35
10/17/2015,$17.83
10/17/2015,$13.49
10/18/2015,$38.32
10/18/2015,$24.65
10/18/2015,$3.72
10/19/2015,$192.85
10/19/2015,$160.00
10/20/2015,$51.38
10/20/2015,$5.21
10/20/2015,$7.96
10/21/2015,$29.23
10/22/2015,$37.19
10/23/2015,$150.44
10/23/2015,$11.58
10/24/2015,$19.68
10/24/2015,$1.88
10/24/2015,$5.64
10/25/2015,$109.41
10/25/2015,$2.17
10/25/2015,$0.87
10/26/2015,$24.59
10/26/2015,$3.02
10/26/2015,$20.85
10/26/2015,$5.79
10/27/2015,$15.63
10/27/2015,$13.03
10/27/2015,$11.00
10/28/2015,$7.51
10/28/2015,$9.12
10/28/2015,$5.35
10/28/2015,$4.49
10/29/2015,$27.86
10/29/2015,$3.76
10/29/2015,$5.21
10/29/2015,$1.74
10/30/2015,$57.02
10/30/2015,$33.79
10/30/2015,$64.84
10/30/2015,$70.99
10/31/2015,$39.37
10/31/2015,$18.81
10/31/2015,$6.51
11/1/2015,$12.29
11/1/2015,$23.08
11/1/2015,$4.34
11/1/2015,$6.66
11/2/2015,$90.45
11/2/2015,$2.17
11/2/2015,$3.91
11/2/2015,$2.46
11/3/2015,$50.00
11/3/2015,$0.36
11/3/2015,$4.34
11/3/2015,$3.04
11/4/2015,$3.33
11/4/2015,$34.59
11/5/2015,$36.37
11/5/2015,$6.69
11/5/2015,$6.69
11/5/2015,$5.79
11/6/2015,$35.75
11/6/2015,$0.29
11/6/2015,$3.76
11/6/2015,$18.52
11/7/2015,$72.51
11/7/2015,$2.68
11/7/2015,$2.17
11/8/2015,$13.17
11/8/2015,$50.44
11/9/2015,$5.64
11/9/2015,$23.81
11/9/2015,$6.95
11/9/2015,$7.09
11/10/2015,$6.08
11/10/2015,$6.37
11/10/2015,$20.55
11/10/2015,$4.34
11/11/2015,$89.58
11/11/2015,$7.67
11/11/2015,$13.75
11/11/2015,$14.22
11/12/2015,$1.88
11/12/2015,$10.56
11/12/2015,$15.34
11/12/2015,$8.97
11/13/2015,$10.00
11/13/2015,$5.07
11/14/2015,$23.30
11/14/2015,$2.53
11/14/2015,$13.03
11/14/2015,$3.62
11/15/2015,$65.69
11/15/2015,$1.16
11/15/2015,$4.12
11/15/2015,$0.36
11/16/2015,$9.70
11/16/2015,$6.30
11/16/2015,$3.18
11/17/2015,$402.12
11/17/2015,$0.80
11/17/2015,$1.45
11/18/2015,$3.76
11/18/2015,$4.56
11/18/2015,$2.17
11/18/2015,$4.78
11/19/2015,$7.67
11/19/2015,$2.46
11/19/2015,$5.35
11/20/2015,$6.15
11/20/2015,$48.19
11/20/2015,$5.07
11/20/2015,$15.92
11/21/2015,$6.44
11/21/2015,$7.24
11/21/2015,$18.81
11/21/2015,$1.16
11/22/2015,$5.50
11/22/2015,$2.75
11/22/2015,$7.38
11/22/2015,$1.16
11/23/2015,$109.70
11/23/2015,$26.30
11/23/2015,$7.24
11/23/2015,$4.34
11/24/2015,$13.07
11/24/2015,$3.33
11/24/2015,$0.29
11/25/2015,$11.83
11/25/2015,$5.93
11/25/2015,$3.47
11/25/2015,$1.30
11/26/2015,$7.67
11/26/2015,$21.64
11/26/2015,$2.03
11/26/2015,$3.47
11/27/2015,$17.29
11/27/2015,$45.52
11/27/2015,$0.87
11/27/2015,$10.28
11/28/2015,$24.75
11/28/2015,$2.17
11/28/2015,$0.87
11/29/2015,$201.60
11/29/2015,$24.75
11/30/2015,$13.89
11/30/2015,$1.30
12/1/2015,$4.63
12/1/2015,$287.06
12/1/2015,$6.08
12/1/2015,$2.61
12/2/2015,$24.02
12/2/2015,$0.72
12/2/2015,$0.72
12/3/2015,$52.68
12/4/2015,$13.46
12/4/2015,$41.24
12/5/2015,$105.36
12/5/2015,$60.86
12/5/2015,$4.99
12/5/2015,$4.28
12/6/2015,$63.20
12/6/2015,$2.57
12/6/2015,$15.13
12/7/2015,$1.43
12/7/2015,$0.29
12/7/2015,$0.29
12/8/2015,$68.34
12/8/2015,$3.08
12/8/2015,$3.04
12/8/2015,$79.02
12/9/2015,$21.98
12/9/2015,$4.57
12/10/2015,$19.39
12/10/2015,$68.48
12/10/2015,$7.14
12/10/2015,$2.85
12/11/2015,$8.09
12/11/2015,$39.83
12/11/2015,$3.92
12/12/2015,$7.44
12/12/2015,$35.34
12/12/2015,$6.52
12/12/2015,$52.83
12/13/2015,$14.97
12/13/2015,$1.75
12/13/2015,$36.96
12/14/2015,$15.65
12/14/2015,$9.00
12/14/2015,$12.44
12/14/2015,$4.47
12/15/2015,$12.79
12/15/2015,$4.85
12/15/2015,$21.31
12/15/2015,$4.57
12/16/2015,$17.12
12/16/2015,$14.80
12/16/2015,$17.74
12/16/2015,$17.46
12/17/2015,$36.35
12/17/2015,$40.55
12/17/2015,$124.79
12/17/2015,$4.73
12/18/2015,$0.34
12/18/2015,$2.68
12/18/2015,$49.63
12/18/2015,$29.40
12/19/2015,$3.92
12/19/2015,$38.81
12/19/2015,$2.14
12/20/2015,$139.53
12/20/2015,$5.57
12/20/2015,$4.28
12/20/2015,$18.12
12/21/2015,$22.72
12/21/2015,$28.34
12/21/2015,$0.71
12/22/2015,$27.26
12/22/2015,$15.70
12/22/2015,$7.57
12/22/2015,$25.19
12/23/2015,$6.06
12/23/2015,$1.43
12/24/2015,$0.01
12/25/2015,$0.01
12/26/2015,$0.01
12/27/2015,$31.89
12/27/2015,$2.57
12/28/2015,$0.01
12/29/2015,$0.01
12/30/2015,$23.26
12/31/2015,$0.01
1/1/2016,$39.99
1/2/2016,$0.01
1/3/2016,$15.91
1/3/2016,$34.31
1/4/2016,$0.01
1/5/2016,$0.01
1/6/2016,$0.01
1/7/2016,$0.01
1/8/2016,$0.01
1/9/2016,$14.27
1/10/2016,$14.27
1/10/2016,$8.56
1/10/2016,$3.21
1/10/2016,$4.28
1/11/2016,$28.54
1/11/2016,$39.24
1/12/2016,$5.21
1/13/2016,$0.01
1/14/2016,$0.01
1/15/2016,$0.01
1/16/2016,$0.01
1/17/2016,$3.42
1/17/2016,$75.71
1/17/2016,$6.98
1/17/2016,$2.85
1/18/2016,$45.66
1/18/2016,$4.99
1/19/2016,$111.22
1/19/2016,$70.78
1/19/2016,$26.46
1/19/2016,$56.04
1/20/2016,$13.56
1/20/2016,$19.54
1/20/2016,$1.43
1/21/2016,$22.12
1/21/2016,$3.28
1/22/2016,$9.16
1/22/2016,$13.91
1/22/2016,$15.98
1/22/2016,$16.13
1/23/2016,$20.26
1/23/2016,$2.71
1/23/2016,$1.43
1/23/2016,$1.88
1/24/2016,$6.56
1/24/2016,$117.75
1/24/2016,$2.14
1/24/2016,$1.43
1/25/2016,$51.23
1/25/2016,$4.98
1/25/2016,$5.71
1/26/2016,$23.05
1/26/2016,$4.98
1/26/2016,$1.43
1/27/2016,$113.69
1/27/2016,$14.08
1/27/2016,$9.76
1/28/2016,$81.64
1/28/2016,$28.40
1/29/2016,$24.83
1/30/2016,$7.14
1/31/2016,$19.08
1/31/2016,$11.13
1/31/2016,$2.93
1/31/2016,$2.14
2/1/2016,$2.50
2/1/2016,$39.53
2/2/2016,$55.27
2/2/2016,$19.84
2/2/2016,$17.37
2/2/2016,$2.43
2/3/2016,$14.27
2/3/2016,$26.67
2/3/2016,$0.29
2/4/2016,$23.26
2/4/2016,$9.19
2/4/2016,$6.62
2/5/2016,$63.24
2/5/2016,$95.75
2/5/2016,$7.15
2/5/2016,$0.40
2/6/2016,$47.98
2/6/2016,$1.64
2/6/2016,$1.41
2/7/2016,$0.01
2/8/2016,$0.01
2/9/2016,$0.01
2/10/2016,$2.00
2/10/2016,$0.24
2/10/2016,$24.47
2/11/2016,$63.26
2/11/2016,$10.70
2/12/2016,$32.82
2/12/2016,$4.79
2/12/2016,$4.99
2/12/2016,$162.20
2/12/2016,$688.35
2/12/2016,$160.00
2/13/2016,$56.06
2/13/2016,$21.92
2/13/2016,$15.76
2/14/2016,$42.61
2/14/2016,$11.31
2/15/2016,$84.88
2/15/2016,$33.09
2/15/2016,$8.84
2/15/2016,$5.82
2/16/2016,$1.03
2/16/2016,$259.40
2/17/2016,$315.30
2/17/2016,$17.81
2/17/2016,$17.81
2/18/2016,$5.82
2/19/2016,$121.30
2/19/2016,$1.21
2/19/2016,$8.92
2/19/2016,$25.99
2/20/2016,$255.67
2/20/2016,$47.31
2/20/2016,$12.70
2/20/2016,$8.28
2/21/2016,$59.36
2/22/2016,$0.01
2/23/2016,$0.01
2/24/2016,$0.01
2/25/2016,$0.01
2/26/2016,$0.01
2/27/2016,$83.82
2/27/2016,$62.79
2/28/2016,$12.09
2/28/2016,$22.22
2/29/2016,$7.14
2/29/2016,$12.36
2/29/2016,$79.04
3/1/2016,$47.60
3/1/2016,$45.81
3/1/2016,$3.38
3/1/2016,$5.03
3/2/2016,$2.25
3/2/2016,$5.71
3/3/2016,$424.58
3/3/2016,$47.11
3/4/2016,$15.28
3/4/2016,$61.30
3/5/2016,$43.09
3/6/2016,$5.89
3/6/2016,$2.59
3/6/2016,$3.24
3/6/2016,$17.86
3/7/2016,$164.72
3/7/2016,$0.39
3/8/2016,$2.59
3/8/2016,$10.81
3/8/2016,$2.65
3/9/2016,$13.46
3/9/2016,$8.74
3/9/2016,$11.33
3/10/2016,$40.58
3/10/2016,$2.91
3/11/2016,$29.45
3/11/2016,$3.95
3/11/2016,$2.27
3/12/2016,$8.74
3/12/2016,$4.21
3/12/2016,$15.53
3/12/2016,$21.36
3/13/2016,$16.50
3/13/2016,$8.41
3/13/2016,$5.05
3/13/2016,$9.50
3/14/2016,$90.87
3/14/2016,$4.85
3/14/2016,$5.31
3/15/2016,$4.32
3/15/2016,$4.31
3/15/2016,$78.93
3/16/2016,$19.04
3/16/2016,$22.07
3/16/2016,$5.16
3/16/2016,$10.93
3/17/2016,$17.27
3/17/2016,$39.51
3/18/2016,$5.44
3/18/2016,$0.31
3/18/2016,$1.56
3/18/2016,$0.93
3/19/2016,$107.89
3/19/2016,$54.01
3/19/2016,$2.64
3/19/2016,$4.82
3/20/2016,$7.62
3/20/2016,$10.21
3/20/2016,$96.00
3/20/2016,$19.91
3/21/2016,$77.92
3/21/2016,$2.14
3/21/2016,$9.53
3/22/2016,$29.51
3/22/2016,$5.05
3/23/2016,$27.83
3/23/2016,$2.98
3/23/2016,$63.49
3/23/2016,$0.69
3/24/2016,$35.04
3/24/2016,$4.70
3/24/2016,$16.58
3/25/2016,$46.83
3/25/2016,$12.78
3/25/2016,$18.75
3/26/2016,$43.67
3/26/2016,$2.97
3/26/2016,$7.60
3/26/2016,$2.76
3/27/2016,$36.61
3/27/2016,$27.63
3/28/2016,$13.81
3/28/2016,$6.91
3/28/2016,$2.97
3/28/2016,$13.81
3/29/2016,$9.53
3/29/2016,$34.67
3/29/2016,$2.56
3/30/2016,$4.28
3/30/2016,$3.45
3/30/2016,$24.11
3/30/2016,$3.45
3/31/2016,$48.35
3/31/2016,$35.92
4/1/2016,$112.45
4/1/2016,$24.04
4/2/2016,$4.14
4/2/2016,$16.23
4/2/2016,$17.54
4/3/2016,$4.49
4/3/2016,$29.36
4/3/2016,$7.43
4/3/2016,$21.09
4/4/2016,$13.12
4/4/2016,$2.37
4/4/2016,$90.06
4/5/2016,$7.43
4/5/2016,$44.61
4/5/2016,$3.04
4/6/2016,$11.62
4/6/2016,$7.43
4/7/2016,$6.29
4/7/2016,$12.03
4/7/2016,$20.55
4/7/2016,$18.25
4/8/2016,$18.45
4/8/2016,$5.54
4/8/2016,$2.50
4/9/2016,$14.46
4/9/2016,$60.96
4/10/2016,$16.29
4/10/2016,$2.03
4/11/2016,$4.73
4/11/2016,$2.03
4/12/2016,$22.98
4/12/2016,$8.25
4/13/2016,$10.81
4/14/2016,$16.96
4/14/2016,$7.77
4/14/2016,$11.15
4/15/2016,$1.69
4/15/2016,$6.42
4/16/2016,$6.22
4/16/2016,$13.85
4/17/2016,$1.35
4/17/2016,$31.76
4/18/2016,$6.76
4/18/2016,$13.85
4/19/2016,$3.56
4/19/2016,$10.34
4/20/2016,$2.50
4/20/2016,$207.03
4/21/2016,$4.28
4/22/2016,$53.46
4/22/2016,$53.46
4/22/2016,$10.27
4/22/2016,$26.38
4/23/2016,$29.87
4/24/2016,$10.89
4/24/2016,$44.40
4/24/2016,$0.87
4/24/2016,$1.74
4/25/2016,$20.47
4/25/2016,$72.89
4/25/2016,$0.65
4/26/2016,$9.83
4/26/2016,$1.59
4/26/2016,$10.99
4/27/2016,$8.46
4/27/2016,$8.88
4/27/2016,$26.03
4/27/2016,$0.36
4/27/2016,$17.43
4/27/2016,$1.37
4/28/2016,$1040.75
4/29/2016,$49.24
4/29/2016,$7.92
4/29/2016,$8.13
4/30/2016,$6.06
4/30/2016,$8.53
4/30/2016,$71.36
5/1/2016,$23.63
5/1/2016,$52.20
5/2/2016,$25.65
5/2/2016,$10.27
5/2/2016,$1.63
5/2/2016,$2.78
5/3/2016,$362.89
5/3/2016,$281.32
5/4/2016,$73.78
5/4/2016,$13.92
5/5/2016,$37.63
5/6/2016,$20.37
5/6/2016,$5.08
5/6/2016,$9.98
5/6/2016,$13.56
5/7/2016,$19.14
5/8/2016,$40.52
5/8/2016,$14.60
5/9/2016,$1.50
5/9/2016,$6.26
5/10/2016,$469.80
5/10/2016,$4.18
5/10/2016,$4.52
5/11/2016,$2.05
5/11/2016,$10.23
5/11/2016,$18.34
5/11/2016,$3.14
5/12/2016,$10.82
5/12/2016,$18.20
5/13/2016,$18.06
5/13/2016,$5.48
5/13/2016,$4.40
5/14/2016,$32.42
5/14/2016,$6.96
5/15/2016,$13.99
5/15/2016,$7.30
5/15/2016,$1.14
5/16/2016,$2.02
5/16/2016,$13.34
5/17/2016,$11.48
5/18/2016,$27.24
5/18/2016,$17.05
5/19/2016,$13.92
5/19/2016,$1.04
5/20/2016,$30.08
5/20/2016,$1.74
5/21/2016,$13.43
5/21/2016,$1.74
5/21/2016,$2.61
5/21/2016,$4.42
5/22/2016,$12.96
5/22/2016,$36.87
5/22/2016,$27.85
5/23/2016,$5.08
5/23/2016,$18.24
5/24/2016,$0.00
5/25/2016,$1.04
5/25/2016,$71.49
5/26/2016,$32.78
5/26/2016,$9.50
5/26/2016,$1.04
5/26/2016,$5.08
5/27/2016,$24.41
5/27/2016,$3.31
5/28/2016,$12.49
5/28/2016,$24.82
5/28/2016,$8.12
5/28/2016,$6.16
5/29/2016,$8.89
5/29/2016,$11.49
5/29/2016,$6.31
5/30/2016,$16.07
5/31/2016,$8.80
5/31/2016,$20.38
6/1/2016,$4.75
6/1/2016,$4.89
6/2/2016,$22.27
6/2/2016,$33.64
6/2/2016,$1.30
6/2/2016,$0.82
6/3/2016,$149.49
6/3/2016,$111.17
6/3/2016,$7.98
6/3/2016,$4.67
6/4/2016,$28.95
6/4/2016,$88.74
6/4/2016,$3.59
6/5/2016,$17.93
6/5/2016,$9.13
6/6/2016,$9.51
6/6/2016,$3.26
6/6/2016,$0.33
6/7/2016,$81.08
6/7/2016,$0.98
6/8/2016,$10.50
6/8/2016,$16.01
6/8/2016,$23.47
6/9/2016,$6.32
6/10/2016,$77.07
6/10/2016,$36.35
6/10/2016,$2.28
6/10/2016,$1.96
6/11/2016,$4.56
6/11/2016,$9.14
6/11/2016,$16.15
6/11/2016,$8.80
6/12/2016,$15.12
6/12/2016,$2.67
6/12/2016,$1.37
6/13/2016,$3.50
6/13/2016,$46.55
6/13/2016,$16.27
6/14/2016,$57.80
6/14/2016,$65.53
6/15/2016,$12.39
6/15/2016,$23.31
6/15/2016,$2.93
6/15/2016,$2.61
6/16/2016,$60.38
6/16/2016,$66.54
6/16/2016,$14.64
6/16/2016,$12.81
6/17/2016,$26.41
6/17/2016,$7.82
6/17/2016,$50.43
6/17/2016,$21.78
6/18/2016,$40.34
6/18/2016,$0.65
6/18/2016,$8.53
6/18/2016,$19.61
6/19/2016,$537.90
6/19/2016,$537.90
6/19/2016,$270.03
6/20/2016,$0.01
6/21/2016,$0.01
6/22/2016,$0.01
6/23/2016,$70.00
6/23/2016,$66.28
6/23/2016,$32.18
6/24/2016,$8.40
6/24/2016,$38.46
6/24/2016,$3.25
6/24/2016,$12.34
6/25/2016,$48.53
6/25/2016,$11.95
6/25/2016,$3.50
6/26/2016,$4.18
6/26/2016,$24.21
6/26/2016,$99.30
6/27/2016,$0.00
6/27/2016,$59.90
6/27/2016,$1.25
6/27/2016,$4.50
6/28/2016,$12.16
6/28/2016,$45.05
6/29/2016,$7.00
6/30/2016,$47.00
6/30/2016,$0.70
6/30/2016,$2.80
6/30/2016,$1.75
7/1/2016,$3.50
7/2/2016,$41.10
7/3/2016,$22.30
7/3/2016,$22.59
7/4/2016,$32.50
7/4/2016,$2.00
7/5/2016,$2.37
7/5/2016,$40.50
7/5/2016,$5.15
7/5/2016,$26.75
7/6/2016,$5.46
7/6/2016,$64.10
7/6/2016,$8.00
7/7/2016,$75.75
7/7/2016,$10.30
7/8/2016,$16.75
7/8/2016,$1.74
7/9/2016,$1.82
7/9/2016,$66.20
7/9/2016,$73.83
7/10/2016,$34.43
7/10/2016,$18.84
7/11/2016,$15.00
7/11/2016,$34.31
7/11/2016,$20.24
7/11/2016,$18.78
7/12/2016,$43.75
7/12/2016,$28.34
7/12/2016,$9.89
7/13/2016,$107.50
7/13/2016,$141.63
7/13/2016,$20.94
7/14/2016,$75.63
7/14/2016,$108.77
7/15/2016,$23.37
7/15/2016,$18.82
7/15/2016,$33.69
7/16/2016,$28.03
7/16/2016,$37.82
7/16/2016,$15.51
7/16/2016,$102.16
7/17/2016,$141.72
7/18/2016,$101.21
7/18/2016,$4.21
7/18/2016,$11.49
7/18/2016,$6.42
7/19/2016,$70.28
7/19/2016,$21.85
7/19/2016,$11.84
7/19/2016,$3.64
7/20/2016,$98.09
7/20/2016,$14.10
7/20/2016,$10.91
7/20/2016,$5.42
7/21/2016,$43.42
7/21/2016,$23.07
7/21/2016,$36.53
7/21/2016,$2.10
7/22/2016,$16.03
7/22/2016,$13.28
7/22/2016,$24.09
7/22/2016,$23.73
7/23/2016,$78.31
7/23/2016,$46.25
7/23/2016,$3.50
7/23/2016,$16.92
7/24/2016,$28.88
7/24/2016,$7.31
7/24/2016,$8.67
7/24/2016,$12.45
7/25/2016,$8.04
7/25/2016,$18.70
7/26/2016,$22.16
7/26/2016,$37.27
7/26/2016,$1.05
7/26/2016,$2.10
7/27/2016,$10.70
7/27/2016,$7.34
7/28/2016,$45.45
7/28/2016,$16.00
7/28/2016,$4.25
7/28/2016,$0.75
7/29/2016,$115.35
7/29/2016,$145.31
7/30/2016,$28.73
7/30/2016,$28.25
7/30/2016,$5.66
7/30/2016,$34.82
7/31/2016,$30.59
7/31/2016,$26.57
8/1/2016,$20.52
8/1/2016,$5.24
8/1/2016,$5.24
8/1/2016,$1.43
8/2/2016,$38.77
8/2/2016,$23.91
8/3/2016,$9.57
8/3/2016,$1.75
8/4/2016,$71.53
8/4/2016,$78.48
8/5/2016,$22.27
8/5/2016,$16.08
8/5/2016,$21.32
8/6/2016,$42.93
8/6/2016,$31.46
8/6/2016,$27.72
8/6/2016,$5.00
8/7/2016,$82.45
8/7/2016,$80.00
8/7/2016,$26.25
8/7/2016,$44.63
8/8/2016,$0.31
8/8/2016,$2.67
8/8/2016,$16.36
8/8/2016,$4.38
8/9/2016,$7.70
8/10/2016,$17.41
8/11/2016,$39.29
8/11/2016,$6.56
8/11/2016,$15.97
8/12/2016,$304.74
8/12/2016,$278.31
8/13/2016,$104.92
8/13/2016,$104.66
8/14/2016,$12.64
8/14/2016,$68.40
8/14/2016,$8.25
8/14/2016,$11.71
8/15/2016,$49.78
8/15/2016,$58.82
8/16/2016,$266.16
8/17/2016,$172.20
8/18/2016,$0.67
8/19/2016,$9.85
8/20/2016,$18.50
8/20/2016,$230.17
8/21/2016,$3.06
8/21/2016,$9.85
8/22/2016,$10.80
8/22/2016,$13.31
8/22/2016,$21.29
8/23/2016,$15.30
8/23/2016,$203.61
8/23/2016,$30.61
8/24/2016,$15.70
8/24/2016,$21.82
8/24/2016,$5.99
8/25/2016,$0.53
8/25/2016,$9.71
8/25/2016,$43.59
8/26/2016,$24.35
8/26/2016,$6.65
8/26/2016,$7.32
8/26/2016,$15.97
8/27/2016,$5.46
8/27/2016,$12.38
8/27/2016,$22.96
8/28/2016,$24.95
8/29/2016,$88.36
8/29/2016,$72.53
8/29/2016,$37.26
8/29/2016,$35.47
8/30/2016,$16.77
8/30/2016,$10.25
8/31/2016,$20.49
8/31/2016,$5.59
8/31/2016,$1.33
8/31/2016,$24.62
9/1/2016,$45.51
9/1/2016,$5.99
9/1/2016,$48.57
9/2/2016,$9.85
9/2/2016,$6.39
9/2/2016,$300
9/2/2016,$7.98
9/3/2016,$10.65
9/3/2016,$32.60
9/3/2016,$59.89
9/3/2016,$17.83
9/4/2016,$30.61
9/4/2016,$31.01
9/5/2016,$23.16
9/6/2016,$66.54
9/6/2016,$10.78
9/6/2016,$2.66
